location,full_location,lat_lon,lat,lon,cluster
Banashankari,"Banashankari, Bangalore, Karnataka, India","(12.965283249999999, 77.59445195)",12.965283249999999,77.59445195,0
Basavanagudi,"Basavanagudi, Bangalore, Karnataka, India","(12.9417261, 77.5755021)",12.9417261,77.5755021,3
Mysore Road,"Mysore Road, Bangalore, Karnataka, India","(12.9467026, 77.5300705)",12.9467026,77.5300705,5
Jayanagar,"Jayanagar, Bangalore, Karnataka, India","(12.9292731, 77.5824229)",12.9292731,77.5824229,3
Kumaraswamy Layout,"Kumaraswamy Layout, Bangalore, Karnataka, India","(12.9081487, 77.5553179)",12.9081487,77.5553179,3
Rajarajeshwari Nagar,"Rajarajeshwari Nagar, Bangalore, Karnataka, India","(12.9274413, 77.5155224)",12.9274413,77.5155224,5
Vijay Nagar,"Vijay Nagar, Bangalore, Karnataka, India","(12.96595445, 77.61253320881664)",12.96595445,77.61253320881664,0
Uttarahalli,"Uttarahalli, Bangalore, Karnataka, India","(12.9055682, 77.5455438)",12.9055682,77.5455438,3
JP Nagar,"JP Nagar, Bangalore, Karnataka, India","(12.9072515, 77.5782713)",12.9072515,77.5782713,3
South Bangalore,"South Bangalore, Bangalore, Karnataka, India","(12.862467899999999, 77.56089325971044)",12.862467899999999,77.56089325971044,3
City Market,"City Market, Bangalore, Karnataka, India","(12.965717999999999, 77.5762705372058)",12.965717999999999,77.5762705372058,0
Bannerghatta Road,"Bannerghatta Road, Bangalore, Karnataka, India","(12.9521804, 77.6041899)",12.9521804,77.6041899,0
BTM,"BTM, Bangalore, Karnataka, India","(12.911275849999999, 77.60456543431182)",12.911275849999999,77.60456543431182,1
Kanakapura Road,"Kanakapura Road, Bangalore, Karnataka, India","(12.9386765, 77.5752987)",12.9386765,77.5752987,3
Bommanahalli,"Bommanahalli, Bangalore, Karnataka, India","(12.9089453, 77.6239038)",12.9089453,77.6239038,1
Electronic City,"Electronic City, Bangalore, Karnataka, India","(12.848759900000001, 77.64825295827616)",12.848759900000001,77.64825295827616,7
Sarjapur Road,"Sarjapur Road, Bangalore, Karnataka, India","(12.9242952, 77.6517878)",12.9242952,77.6517878,1
Wilson Garden,"Wilson Garden, Bangalore, Karnataka, India","(12.9489339, 77.5968273)",12.9489339,77.5968273,0
Shanti Nagar,"Shanti Nagar, Bangalore, Karnataka, India","(12.9575547, 77.5979099)",12.9575547,77.5979099,0
Koramangala 5th Block,"Koramangala 5th Block, Bangalore, Karnataka, India","(12.9348429, 77.6189768)",12.9348429,77.6189768,1
Richmond Road,"Richmond Road, Bangalore, Karnataka, India","(12.9662452, 77.6068229)",12.9662452,77.6068229,0
HSR,"HSR, Bangalore, Karnataka, India","(12.9116225, 77.6388622)",12.9116225,77.6388622,1
Koramangala 7th Block,"Koramangala 7th Block, Bangalore, Karnataka, India","(12.9364846, 77.6134783)",12.9364846,77.6134783,1
Bellandur,"Bellandur, Bangalore, Karnataka, India","(12.93103185, 77.6782471)",12.93103185,77.6782471,2
Marathahalli,"Marathahalli, Bangalore, Karnataka, India","(12.9552572, 77.6984163)",12.9552572,77.6984163,2
Whitefield,"Whitefield, Bangalore, Karnataka, India","(12.9696365, 77.7497448)",12.9696365,77.7497448,2
East Bangalore,"East Bangalore, Bangalore, Karnataka, India","(12.8504319, 77.6601401)",12.8504319,77.6601401,7
Old Airport Road,"Old Airport Road, Bangalore, Karnataka, India","(12.9593577, 77.6614182)",12.9593577,77.6614182,2
Indiranagar,"Indiranagar, Bangalore, Karnataka, India","(12.9732913, 77.6404672)",12.9732913,77.6404672,0
Koramangala 1st Block,"Koramangala 1st Block, Bangalore, Karnataka, India","(12.9275886, 77.6308832)",12.9275886,77.6308832,1
Frazer Town,"Frazer Town, Bangalore, Karnataka, India","(12.996845, 77.6130165)",12.996845,77.6130165,0
